#tr: 400, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
Question 2:

tr:  5, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 74.0
tr:  5, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 85.0
tr:  5, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  5, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 74.0
tr:  5, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 91.0
tr:  5, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 74.0
tr:  5, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 85.0
tr:  5, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 91.0
tr:  10, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 78.0
tr:  10, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 90.0
tr:  10, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  10, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 80.0
tr:  10, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 97.0
tr:  25, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  25, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  25, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 80.0
tr:  25, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  25, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  25, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 94.0
tr:  25, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  25, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 70.0
tr:  25, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 98.0
tr:  25, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 77.0
tr:  25, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 92.0
tr:  25, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  25, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 92.0
tr:  25, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 98.0
tr:  25, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  50, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 68.0
tr:  50, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 98.0
tr:  50, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  50, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 83.0
tr:  50, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 80.0
tr:  50, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 96.0
tr:  50, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 97.0
tr:  50, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  50, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  75, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 71.0
tr:  75, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 99.0
tr:  75, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 71.0
tr:  75, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 92.0
tr:  75, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 92.0
tr:  75, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 98.0
tr:  75, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 99.0
tr:  75, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  75, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   5, learning rate: 0.005; Accuracy (test, 100 instances): 68.0
tr:  100, epochs:   5, learning rate: 0.01; Accuracy (test, 100 instances): 80.0
tr:  100, epochs:   5, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   10, learning rate: 0.005; Accuracy (test, 100 instances): 80.0
tr:  100, epochs:   10, learning rate: 0.01; Accuracy (test, 100 instances): 96.0
tr:  100, epochs:   10, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   20, learning rate: 0.005; Accuracy (test, 100 instances): 96.0
tr:  100, epochs:   20, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   20, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   50, learning rate: 0.005; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   50, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   50, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   100, learning rate: 0.005; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   100, learning rate: 0.01; Accuracy (test, 100 instances): 100.0
tr:  100, epochs:   100, learning rate: 0.05; Accuracy (test, 100 instances): 100.0
